Title,Year,Director,Rating,,Number of Ratings,Country
Resident Evil: Afterlife (2010),2010,Paul W.S. Anderson,5.8,,180712,Germany
4:44 Last Day on Earth (2011),2011,Abel Ferrara,4.6,,5817,United States
Deadheads (2011),2011,Brett Pierce,5.3,,5576,United States
Perfect Sense (2011),2011,David Mackenzie,7.0,,64525,United Kingdom
The Darkest Hour (2011),2011,Chris Gorak,4.9,,64321,Russia
The Day (2011),N/A,Unknown,N/A,,N/A,Unknown
The Divide (2011),2011,Xavier Gens,5.8,,38951,United States
Melancholia (2011),2011,Lars von Trier,7.1,,198172,Denmark
Hell (2011),2011,Unknown,8.3,,56456,Canada
Take Shelter (2011),2011,Jeff Nichols,7.3,,N/A,Unknown
Rise of the Planet of the Apes (2011),2011,Rupert Wyatt,7.6,,582525,United States
The Cabin in the Woods (2011),2011,Drew Goddard,7.0,,458314,Canada
The Hunger Games (2012),2012,Gary Ross,7.2,,1017332,United States
Seeking a Friend for the End of the World (2012),2012,Lorene Scafaria,6.7,,119479,United States
5 Shells (2012),2012,Paul Myers,4.5,,254,United States
Dredd (2012),2012,Pete Travis,7.1,,298069,United Kingdom
It's a Disaster (2012),2020,Unknown,N/A,,11695,United States
Battle: Los Angeles (2012),2011,Jonathan Liebesman,5.7,,186072,United States
Resident Evil: Retribution (2012),2012,Paul W.S. Anderson,5.3,,151648,Germany
Resident Evil: Damnation (2012),2012,Makoto Kamiya,6.4,,22655,Japan
Cloud Atlas (2012),2012,Tom Tykwer,7.4,,N/A,Unknown
Cockneys vs Zombies (2012),2012,Matthias Hoene,5.9,,20435,United Kingdom
The Battery (2012),2012,Jeremy Gardner,6.3,,N/A,United Kingdom
Rapture-Palooza (2013),2013,Paul Middleditch,5.2,,12722,United States
The Colony (2013),2013,Jeff Renfroe,5.3,,47511,Canada
These Final Hours (2013),2013,Zak Hilditch,6.6,,19242,Australia
This Is the End (2013),2013,Evan Goldberg,6.6,,438525,United States
After the Dark (2013),2013,John Huddles,5.6,,23781,United States
After Earth (2013),2013,M. Night Shyamalan,4.8,,N/A,Unknown
Los Últimos Días (2013),2013,David Pastor,6.1,,9094,Spain
Antisocial (2013),2013,Cody Calahan,4.5,,3595,Canada
Snowpiercer (2013),2013,Bong Joon Ho,7.1,,394361,South Korea
Oblivion (2013),2013,Joseph Kosinski,7.0,,558842,United States
Warm Bodies (2013),2013,Jonathan Levine,6.8,,N/A,Unknown
World War Z (2013),2013,Marc Forster,7.0,,733018,United States
Edge of Tomorrow (2013),2014,Doug Liman,7.9,,749455,United States
Forever's End (2013),2013,J.C. Schroder,4.7,,348,United States
The World's End (2013),2013,Edgar Wright,6.9,,301121,United Kingdom
The Host (2013),N/A,Unknown,N/A,,N/A,Unknown
Goodbye World (2013),2013,Denis Henry Hennelly,5.4,,7431,United States
Die Gstettensaga: The Rise of Echsenfriedl (2014),2014,Johannes Grenzfurthner,5.2,,1447,Austria
Wyrmwood: Road of the Dead (2014),2014,Kiah Roache-Turner,6.2,,18563,Australia
The Rover (2014),2014,David Michôd,6.4,,N/A,Unknown
Zodiac: Signs of the Apocalypse (2014),2014,W.D. Hogan,3.3,,1871,Canada
X-Men: Days of Future Past (2014),2014,Bryan Singer,7.9,,756725,United Kingdom
Young Ones (2014),2014,Jake Paltrow,5.8,,10515,South Africa
Aftermath (2014),2014,Péter Engert,4.8,,2147,United States
The Maze Runner (2014),2014,Wes Ball,6.8,,520001,United States
Dawn of the Planet of the Apes (2014),2014,Matt Reeves,7.6,,490343,United States
Interstellar (2014),2014,Christopher Nolan,8.7,,2155164,United States
The Last Survivors (2014),2014,Tom Hammock,5.3,,3972,United States
Noah (2014),2014,Darren Aronofsky,5.8,,268711,United States
Autómata (2014),2014,Gabe Ibáñez,6.0,,59770,Spain
Scouts Guide to the Zombie Apocalypse (2015),2015,Christopher Landon,6.3,,56524,United States
Crumbs (2015),2015,Miguel Llansó,5.9,,777,Spain
Turbo Kid (2015),2015,François Simard,6.7,,30051,Canada
Z for Zachariah (2015),2015,Craig Zobel,6.0,,33002,Iceland
The End of the World and the Cat's Disappearance (2015),2023,Unknown,7.2,,55,United Kingdom
The Walking Deceased (2015),2019,Phoenix West,N/A,,3567,United States
Extinction (2015),2015,Miguel Ángel Vivas,5.8,,18063,Spain
Hidden (2015),2015,Matt Duffer,6.4,,26350,United States
Air (2015),2015,Christian Cantamessa,5.1,,12620,United States
Into the Forest (2015),2015,Patricia Rozema,5.8,,22247,Canada
JeruZalem (2015),2015,Doron Paz,4.8,,11189,Israel
The Survivalist (2015),2015,Stephen Fingleton,6.4,,19030,United Kingdom
Attack on Titan (2015),2013,Unknown,9.1,,543662,Japan
Terminator Genisys (2015),2015,Alan Taylor,6.3,,N/A,Unknown
Maze Runner: The Scorch Trials (2015),2015,Wes Ball,6.3,,282869,United States
Mad Max: Fury Road (2015),2015,George Miller,8.1,,1129167,Australia
Maggie (2015),2015,Henry Hobson,5.6,,47107,United States
10 Cloverfield Lane (2016),2016,Dan Trachtenberg,7.2,,360807,United States
Train to Busan (2016),2016,Yeon Sang-ho,7.6,,267431,South Korea
Seoul Station (2016),2016,Yeon Sang-ho,6.1,,7830,South Korea
I Am a Hero (2016),2016,Kohei Taniguchi,N/A,,N/A,Japan
The Fifth Wave (2016),2016,J Blakeson,5.2,,118707,United States
Cell (2016),2016,Tod Williams,4.4,,31022,United States
Day of Reckoning (2016),2016,Joel Novoa,3.4,,1249,United States
The Girl with All the Gifts (2016),2016,Colm McCarthy,6.6,,65237,United Kingdom
Diverge (2016),2016,James Morrison,4.6,,870,United States
The Northlander (2016),2016,Benjamin Ross Hayden,3.7,,3831,Canada
Stephanie (2017),2017,Akiva Goldsman,5.8,,6467,United States
It Comes at Night (2017),2017,Trey Edward Shults,6.2,,104854,United States
War for the Planet of the Apes (2017),2017,Matt Reeves,7.4,,306180,United States
Resident Evil: The Final Chapter (2017),2017,Unknown,7.6,,31,United States
Resident Evil: Vendetta (2017),2017,Takanori Tsujimoto,6.2,,15783,Japan
Everything Beautiful Is Far Away (2017),2017,Pete Ohs,5.8,,1171,United States
Bokeh (2017),2017,Geoffrey Orthwein,5.0,,7942,United States
Blade Runner 2049 (2017),2017,Denis Villeneuve,8.0,,682290,United States
Cargo (2017),2017,Ben Howling,6.3,,48965,Australia
Here Alone (2017),2017,Unknown,N/A,,N/A,Unknown
Deep (2017),2017,Julio Soto Gurpide,4.2,,1655,Spain
Bird Box (2018),N/A,Unknown,N/A,,N/A,Unknown
Blue World Order (2018),2017,Ché Baker,4.5,,4503,Australia
The Domestics (2018),2018,Mike P. Nelson,5.7,,N/A,Unknown
Future World (2018),2018,James Franco,3.3,,6999,United States
How It Ends (2018),2018,David M. Rosenthal,5.1,,59601,United States
I Think We're Alone Now (2018),2018,Reed Morano,5.7,,13014,United States
In My Room (2018),2018,Ulrich Köhler,6.2,,1324,Germany
Maze Runner: The Death Cure (2018),2018,Wes Ball,6.3,,169277,United States
Mortal Engines (2018),2018,Christian Rivers,6.1,,143749,United States
The Night Eats the World (2018),2018,Dominique Rocher,6.0,,16412,France
Patient Zero (2018),2018,Stefan Ruzowitzky,4.6,,N/A,Unknown
A Quiet Place (2018),2018,John Krasinski,7.5,,605198,United States
Scorched Earth (2018),2018,Peter Howitt,4.4,,4550,Canada
What Still Remains (2018),2018,Josh Mendoza,4.7,,2112,United States
This World Alone (2018),2018,Jordan Noel,5.3,,188,United States
Blood Quantum (2019),2019,Jeff Barnaby,5.6,,21,Unknown
Zombieland: Double Tap (2019),2019,Ruben Fleischer,6.7,,207862,United States
The Wandering Earth (2019),2019,Frant Gwo,5.9,,36911,China
The Silence (2019),2019,John R. Leonetti,5.3,,N/A,Unknown
Io (2019),2019,Jonathan Helpert,4.8,,36601,United States
Terminator: Dark Fate (2019),2019,Tim Miller,6.2,,196448,United States
Light of My Life (2019),2019,Casey Affleck,6.6,,15693,United States
The Lego Movie 2: The Second Part (2019),2019,Mike Mitchell,6.5,,78336,Denmark
3022 (2019),2019,John Suits,4.5,,6040,United States
2067 (2020),2020,Unknown,N/A,,N/A,Unknown
#Alive (2020),2020,Il Cho,6.3,,49140,South Korea
Alone (2020),2020,John Hyams,6.2,,30503,United States
Friend of the World (2020),2020,Brian Patrick Butler,5.4,,99,United States
Greenland (2020),2020,Ric Roman Waugh,6.4,,138867,United States
Love and Monsters (2020),2020,Michael Matthews,6.9,,148158,Canada
Train to Busan Presents: Peninsula (2020),2020,Yeon Sang-ho,5.5,,38807,South Korea
The Midnight Sky (2020),2020,George Clooney,5.7,,90231,United States
Songbird (2020),2020,Adam Mason,4.8,,11817,United States
How It Ends (2021),2021,Zoe Lister-Jones,5.4,,4404,United States
Quarantine (2021),2021,Diana Ringo,7.8,,15,Russia
Silent Night (2021),2021,Camille Griffin,5.8,,N/A,Unknown
Army of the Dead (2021),2021,Zack Snyder,5.8,,191236,United States
Awake (2021),2021,Mark Raso,4.9,,26806,United States
Don't Look Up (2021),2021,Adam McKay,7.2,,615446,United States
The Tomorrow War (2021),2021,Chris McKay,6.6,,232608,United States
Finch (2021),2021,Miguel Sapochnik,6.9,,99571,United States
Mother/Android (2021),2021,Mattson Tomlin,4.9,,21501,United States
The Mitchells vs. The Machines (2021),2021,Michael Rianda,7.6,,129722,United States
The Matrix Resurrections (2021),2021,Lana Wachowski,5.7,,285176,United States
A Quiet Place Part II (2021),2020,John Krasinski,7.2,,287928,United States
Resident Evil: Welcome to Raccoon City (2021),2021,Johannes Roberts,5.2,,65639,Canada
Vesper (2022),2022,Kristina Buozyte,6.0,,23336,Lithuania
Resident Evil: Death Island (2023),2023,Eiichirô Hasumi,5.7,,9334,Japan
The Wandering Earth 2 (2023),2023,Unknown,N/A,,N/A,Unknown
Bird Box Barcelona (2023),2023,David Pastor,5.3,,25298,Spain
Zom 100: Bucket List of the Dead (2023),2023,Unknown,7.4,,9126,Japan
The Creator (2023),2023,Gareth Edwards,6.7,,N/A,Unknown
Foe (2023),2023,Garth Davis,5.4,,10815,United States
Leave the World Behind (2023),2023,Sam Esmail,6.4,,211637,United States
Arcadian (2024),2024,Benjamin Brewer,5.5,,16093,United States
Breathe (2024),2024,Stefon Bristol,3.9,,3448,United States
Kingdom of the Planet of the Apes (2024),2024,Wes Ball,6.9,,118860,United States
Furiosa: A Mad Max Saga (2024),2024,George Miller,7.6,,190094,Australia
A Quiet Place: Day One (2024),2024,Michael Sarnoski,6.3,,92309,United States
